T1,1,880,7,978,1,3,5,2

T2,2,814,10,929,0,9,7,2

T3,3,944,7,914,2,10,7,1

T4,4,862,10,890,3,5,6,3

T5,5,931,10,866,3,6,5,1

T6,6,844,8,833,3,1,5,4

T7,7,850,6,892,1,9,5,4

T8,8,890,8,817,0,3,6,1

T9,9,969,8,843,1,9,5,4

T10,10,809,10,927,1,4,8,2

T11,11,927,8,913,3,9,5,4

T12,12,922,9,916,2,1,7,1

T13,13,841,6,955,1,1,6,3

T14,14,896,9,945,1,8,6,4

T15,15,893,10,834,0,4,6,1

T16,16,863,8,865,0,6,7,2

T17,17,820,9,931,1,2,5,2

T18,18,975,8,886,2,4,5,2

T19,19,895,8,911,1,2,6,4

T20,20,878,8,831,3,5,5,4

T21,21,927,9,906,2,5,6,4

T22,22,842,8,815,2,1,5,4

T23,23,891,9,930,3,1,6,4

T24,24,868,9,800,1,9,6,4

T25,25,931,10,814,1,5,8,1

T26,26,974,8,826,1,6,5,3

T27,27,903,7,892,3,9,5,2

T28,28,854,9,989,1,6,7,3

T29,29,828,7,958,0,7,5,4

T30,30,986,9,976,3,4,5,2

T31,31,924,7,913,3,7,5,3

T32,32,996,7,874,1,9,6,3

T33,33,861,10,801,2,10,7,2

T34,34,870,6,858,2,4,8,1

T35,35,889,10,899,2,10,7,1

T36,36,922,7,975,2,8,6,3

T37,37,964,6,839,2,1,5,2

T38,38,888,6,991,2,5,8,4

T39,39,813,6,961,0,10,6,3

T40,40,867,6,957,0,5,6,2

T41,41,927,6,834,2,5,8,4

T42,42,812,7,806,0,5,8,2

T43,43,833,6,818,2,10,5,3

T44,44,813,10,893,2,7,8,1

T45,45,863,10,996,3,10,6,3

T46,46,840,7,937,0,7,6,4

T47,47,810,7,897,2,9,7,4

T48,48,883,6,920,1,3,7,3

T49,49,954,9,849,3,6,8,3

T50,50,834,6,893,3,7,5,3

T51,51,928,6,974,0,2,8,2

T52,52,844,9,856,3,5,7,3

T53,53,969,10,861,3,2,8,3

T54,54,1000,6,963,1,5,7,4

T55,55,874,10,898,3,8,6,4

T56,56,905,7,844,1,2,5,1

T57,57,857,8,931,3,9,7,4

T58,58,813,9,883,1,4,7,1

T59,59,858,6,813,3,8,5,3

T60,60,973,6,924,1,8,8,2

T61,61,895,8,976,2,10,5,2

T62,62,802,10,920,2,9,7,2

T63,63,945,6,953,2,2,8,3

T64,64,978,10,854,2,8,8,1

T65,65,852,9,852,3,5,8,1

T66,66,990,9,814,2,9,8,2

T67,67,991,7,831,3,4,6,4

T68,68,939,9,974,0,3,8,1

T69,69,876,8,862,1,6,5,2

T70,70,825,10,970,1,10,6,2

T71,71,938,9,995,3,8,5,3

T72,72,996,8,874,3,8,7,2

T73,73,968,7,852,0,8,8,3

T74,74,996,7,862,0,2,5,4

T75,75,992,7,978,2,6,5,4

T76,76,956,6,978,0,2,8,1

T77,77,960,8,860,2,1,5,3

T78,78,817,7,835,3,7,5,4

T79,79,826,8,974,1,9,7,4

T80,80,978,7,808,2,9,6,4

T81,81,909,10,864,3,7,8,2

T82,82,895,6,942,1,6,6,4

T83,83,943,9,840,0,8,8,2

T84,84,881,9,970,3,10,7,2

T85,85,802,6,951,2,3,7,4

T86,86,822,10,901,3,10,5,1

T87,87,828,10,953,0,5,5,3

T88,88,966,6,904,1,8,8,1

T89,89,935,9,830,3,8,5,2

T90,90,815,9,929,0,2,5,3

T91,91,875,6,956,3,5,7,1

T92,92,800,9,817,3,5,5,1

T93,93,859,10,953,1,6,8,2

T94,94,876,6,824,2,1,5,1

T95,95,930,6,863,0,2,7,4

T96,96,879,10,928,0,3,6,3

T97,97,936,8,879,3,2,8,2

T98,98,843,8,801,0,1,7,4

T99,99,925,6,808,1,7,6,2

T100,100,919,6,839,3,1,8,2

T101,101,962,10,829,3,5,8,2

T102,102,828,8,966,3,5,5,4

T103,103,996,8,973,0,10,8,2

