T1,1,1320,12,993,3,14,12,2

T2,2,1463,12,925,1,8,11,4

T3,3,1287,10,932,3,9,10,1

T4,4,1216,13,953,0,15,13,2

T5,5,1066,15,911,2,10,10,1

T6,6,1121,10,981,2,9,9,2

T7,7,1499,15,912,3,10,10,3

T8,8,1247,10,944,2,14,9,1

T9,9,1145,10,951,0,12,11,3

T10,10,1149,13,965,3,12,12,3

T11,11,1399,12,921,3,11,9,2

T12,12,1407,10,918,1,9,13,3

T13,13,1052,12,983,2,14,11,3

T14,14,1366,10,999,3,10,12,2

T15,15,1496,11,938,2,11,9,3

T16,16,1350,12,909,2,12,11,3

T17,17,1285,11,982,2,15,10,4

T18,18,1262,14,993,3,15,10,3

T19,19,1397,11,961,2,15,9,3

T20,20,1169,14,900,0,13,12,3

T21,21,1361,13,920,2,14,9,2

T22,22,1130,14,913,3,8,13,3

T23,23,1080,15,903,0,14,12,4

T24,24,1094,12,915,0,11,9,4

T25,25,1024,12,964,3,14,9,2

T26,26,1427,14,951,0,15,12,3

T27,27,1223,10,973,2,15,12,4

T28,28,1341,13,924,2,13,10,1

T29,29,1366,10,936,2,15,13,1

T30,30,1077,13,931,2,15,11,2

T31,31,1162,11,906,1,11,9,1

T32,32,1411,13,991,3,9,9,1

T33,33,1177,13,937,0,12,9,4

T34,34,1450,13,954,3,9,10,4

T35,35,1480,12,923,3,14,12,4

T36,36,1412,11,979,2,14,13,4

T37,37,1048,14,989,2,8,13,4

T38,38,1468,14,969,1,12,13,1

T39,39,1288,15,952,0,11,9,1

T40,40,1353,12,959,1,11,9,3

T41,41,1045,14,914,0,13,12,4

T42,42,1130,14,984,0,9,10,4

T43,43,1025,10,913,3,8,13,1

T44,44,1404,11,949,3,12,13,1

T45,45,1362,10,998,1,14,13,2

T46,46,1444,13,969,0,9,13,2

T47,47,1046,15,975,1,13,12,1

T48,48,1314,12,917,0,11,12,4

T49,49,1010,11,922,2,14,10,3

T50,50,1022,10,919,2,8,12,1

T51,51,1482,12,934,1,11,13,3

T52,52,1047,10,978,1,14,13,2

T53,53,1447,10,954,3,9,12,2

T54,54,1148,15,948,3,15,10,4

T55,55,1142,15,994,1,15,11,2

T56,56,1317,11,901,1,11,13,1

T57,57,1482,12,944,3,13,10,1

T58,58,1292,12,913,3,8,9,2

T59,59,1395,11,937,0,9,12,1

T60,60,1317,13,941,3,11,10,4

T61,61,1059,14,922,2,12,13,1

T62,62,1305,10,965,1,12,11,2

T63,63,1321,12,966,3,9,9,1

T64,64,1086,14,943,3,8,9,3

T65,65,1072,13,922,0,12,11,1

T66,66,1220,13,965,1,12,11,4

T67,67,1072,15,922,2,10,10,1

T68,68,1397,10,918,1,9,10,3

T69,69,1485,11,956,3,12,10,3

T70,70,1079,14,948,2,11,13,3

T71,71,1072,13,902,3,12,10,3

T72,72,1427,15,903,0,9,12,2

T73,73,1451,14,958,3,11,12,3

T74,74,1308,14,946,3,15,13,3

T75,75,1180,11,959,2,12,10,4

T76,76,1458,14,933,0,12,9,3

T77,77,1099,11,905,2,8,9,4

T78,78,1228,12,940,2,12,10,1

T79,79,1459,14,929,0,8,12,2

T80,80,1385,14,923,3,8,11,1

T81,81,1340,11,934,2,12,11,4

T82,82,1408,11,907,3,14,10,4

T83,83,1105,15,949,1,10,9,2

T84,84,1109,12,973,1,13,10,3

T85,85,1443,11,947,2,14,10,1

T86,86,1116,14,909,3,14,13,3

T87,87,1303,10,903,1,14,9,4

T88,88,1121,10,971,0,9,12,4

T89,89,1233,10,911,3,15,9,4

T90,90,1471,12,942,2,11,11,4

T91,91,1349,14,999,1,11,11,1

T92,92,1329,13,986,1,15,9,2

T93,93,1429,15,913,0,14,11,2

T94,94,1476,15,983,0,15,11,2

T95,95,1411,10,956,2,14,11,3

T96,96,1117,10,996,3,12,9,1

T97,97,1161,12,980,3,11,11,4

T98,98,1165,11,942,2,10,13,2

T99,99,1035,14,969,2,12,10,2

T100,100,1207,11,941,3,13,9,2

T101,101,1320,13,983,1,12,9,2

T102,102,1487,14,972,0,12,12,1

T103,103,1306,11,970,0,13,10,4

T104,104,1500,12,927,3,15,11,1

T105,105,1446,12,929,0,9,13,4

T106,106,1382,14,950,2,12,9,3

T107,107,1212,14,907,1,11,12,1

T108,108,1241,13,914,0,13,13,3

T109,109,1199,10,916,1,14,11,2

T110,110,1462,12,997,2,11,9,4

T111,111,1055,10,960,0,10,13,2

T112,112,1341,15,982,1,14,13,1

T113,113,1001,12,927,3,8,10,1

T114,114,1308,12,937,1,13,10,2

T115,115,1401,10,979,3,8,13,1

T116,116,1243,15,915,0,13,12,3

T117,117,1335,15,975,0,11,10,1

T118,118,1193,11,941,0,15,13,4

T119,119,1322,10,979,0,9,10,1

T120,120,1400,15,987,0,13,13,2

